epoch,accuracy,loss,val_accuracy,val_loss
0,0.8442200422286987,0.3507075011730194,0.8042498230934143,0.35281044244766235
1,0.8833039999008179,0.25530141592025757,0.810056209564209,0.38639506697654724
2,0.9087525606155396,0.21027758717536926,0.810612142086029,0.48051339387893677
3,0.9232372641563416,0.17727898061275482,0.8077707290649414,0.5140182971954346
4,0.9375520944595337,0.15047794580459595,0.802026093006134,0.5407567620277405
5,0.9459217190742493,0.13357287645339966,0.802026093006134,0.6181286573410034
6,0.9535037875175476,0.1173911988735199,0.8114769458770752,0.620064914226532
7,0.9572871327400208,0.10610935091972351,0.8056087493896484,0.7234095931053162
8,0.962120532989502,0.09679528325796127,0.8142566084861755,0.7443095445632935
9,0.9636801481246948,0.09396257251501083,0.8109827637672424,0.7383472323417664
10,0.9670311212539673,0.08684399724006653,0.8116622567176819,0.7722726464271545
11,0.9690231084823608,0.0832531601190567,0.8174068927764893,0.7992043495178223
12,0.9714629650115967,0.07515542209148407,0.8175303936004639,0.8734094500541687
13,0.973053514957428,0.07071946561336517,0.8112298250198364,0.9211642742156982
14,0.9748911261558533,0.06765524297952652,0.8250046372413635,1.0431095361709595
15,0.9756632447242737,0.0670962780714035,0.822719156742096,0.9360180497169495
16,0.9775780439376831,0.06146230921149254,0.812774121761322,0.9115570187568665
17,0.9762654900550842,0.06266415119171143,0.8161714673042297,0.9705892205238342
18,0.9787670969963074,0.05862059444189072,0.8143183588981628,1.0025137662887573
19,0.9794002175331116,0.055718231946229935,0.8188275694847107,1.111051321029663
